TIME CONSTANT OF THERMOCOUPLE/ THERMOMETER (Mode Low to High),,,
Time,Temperature,,Time (in seconds)
14:55:53,91,53753,0
14:55:53,91,53753,0
14:55:54,91,53754,1
14:55:54,91,53754,1
14:55:54,91,53754,1
14:55:54,91,53754,1
14:55:55,91,53755,2
14:55:55,91,53755,2
14:55:55,91,53755,2
14:55:56,91,53756,3
14:55:56,91,53756,3
14:55:56,91,53756,3
14:55:56,91,53756,3
14:55:57,91,53757,4
14:55:57,91,53757,4
14:55:57,91,53757,4
14:55:57,91,53757,4
14:55:58,91,53758,5
14:55:58,91,53758,5
14:55:58,91,53758,5
14:55:58,91,53758,5
14:55:59,91,53759,6
14:55:59,91,53759,6
14:55:59,91,53759,6
14:55:59,91,53759,6
14:56:00,91,53760,7
14:56:00,91,53760,7
14:56:00,91,53760,7
14:56:01,91,53761,8
14:56:01,91,53761,8
14:56:01,90,53761,8
14:56:01,90,53761,8
14:56:02,90,53762,9
14:56:02,90,53762,9
14:56:02,90,53762,9
14:56:02,90,53762,9
14:56:03,88,53763,10
14:56:03,88,53763,10
14:56:03,88,53763,10
14:56:03,88,53763,10
14:56:04,88,53764,11
14:56:04,88,53764,11
14:56:04,88,53764,11
14:56:04,88,53764,11
14:56:05,88,53765,12
14:56:05,88,53765,12
14:56:05,86,53765,12
14:56:05,86,53765,12
14:56:06,86,53766,13
14:56:06,86,53766,13
14:56:06,86,53766,13
14:56:06,86,53766,13
14:56:07,86,53767,14
14:56:07,86,53767,14
14:56:07,86,53767,14
14:56:08,86,53768,15
14:56:08,84,53768,15
14:56:08,84,53768,15
14:56:08,84,53768,15
14:56:09,84,53769,16
14:56:09,84,53769,16
14:56:09,82,53769,16
14:56:09,82,53769,16
14:56:10,82,53770,17
14:56:10,82,53770,17
14:56:10,82,53770,17
14:56:10,82,53770,17
14:56:11,80,53771,18
14:56:11,80,53771,18
14:56:11,80,53771,18
14:56:11,80,53771,18
14:56:12,80,53772,19
14:56:12,80,53772,19
14:56:12,80,53772,19
14:56:12,80,53772,19
14:56:13,80,53773,20
14:56:13,78,53773,20
14:56:13,78,53773,20
14:56:14,78,53774,21
14:56:14,78,53774,21
14:56:14,78,53774,21
14:56:14,78,53774,21
14:56:15,78,53775,22
14:56:15,76,53775,22
14:56:15,76,53775,22
14:56:15,76,53775,22
14:56:16,76,53776,23
14:56:16,76,53776,23
14:56:16,76,53776,23
14:56:16,76,53776,23
14:56:17,76,53777,24
14:56:17,74,53777,24
