TIME CONSTANT OF THERMOCOUPLE/ THERMOMETER (Mode Low to High),,,
Time,Temperature,,Time (in seconds)
15:29:08,91,55748,0
15:29:08,91,55748,0
15:29:09,91,55749,1
15:29:09,91,55749,1
15:29:09,91,55749,1
15:29:09,91,55749,1
15:29:10,91,55750,2
15:29:10,91,55750,2
15:29:10,91,55750,2
15:29:10,91,55750,2
15:29:11,91,55751,3
15:29:11,91,55751,3
15:29:11,91,55751,3
15:29:11,91,55751,3
15:29:12,91,55752,4
15:29:12,91,55752,4
15:29:12,91,55752,4
15:29:12,91,55752,4
15:29:13,90,55753,5
15:29:13,90,55753,5
15:29:13,90,55753,5
15:29:13,90,55753,5
15:29:14,90,55754,6
15:29:14,90,55754,6
15:29:14,90,55754,6
15:29:14,90,55754,6
15:29:15,90,55755,7
15:29:15,90,55755,7
15:29:15,90,55755,7
15:29:16,90,55756,8
15:29:16,90,55756,8
15:29:16,90,55756,8
15:29:16,90,55756,8
15:29:17,89,55757,9
15:29:17,89,55757,9
15:29:17,89,55757,9
15:29:17,89,55757,9
15:29:18,89,55758,10
15:29:18,88,55758,10
15:29:18,88,55758,10
15:29:18,88,55758,10
15:29:19,88,55759,11
15:29:19,88,55759,11
15:29:19,88,55759,11
15:29:19,88,55759,11
15:29:20,88,55760,12
15:29:20,87,55760,12
15:29:20,87,55760,12
15:29:20,87,55760,12
15:29:21,87,55761,13
15:29:21,87,55761,13
15:29:21,86,55761,13
15:29:21,86,55761,13
15:29:22,86,55762,14
15:29:22,86,55762,14
15:29:22,86,55762,14
15:29:22,86,55762,14
15:29:23,85,55763,15
15:29:23,85,55763,15
15:29:23,85,55763,15
15:29:24,85,55764,16
15:29:24,85,55764,16
15:29:24,85,55764,16
15:29:24,84,55764,16
15:29:25,84,55765,17
15:29:25,84,55765,17
15:29:25,84,55765,17
15:29:25,84,55765,17
15:29:26,84,55766,18
15:29:26,84,55766,18
15:29:26,83,55766,18
15:29:26,83,55766,18
15:29:27,83,55767,19
15:29:27,83,55767,19
15:29:27,83,55767,19
15:29:27,83,55767,19
15:29:28,82,55768,20
15:29:28,82,55768,20
15:29:28,82,55768,20
15:29:28,82,55768,20
15:29:29,82,55769,21
15:29:29,82,55769,21
15:29:29,82,55769,21
15:29:29,82,55769,21
15:29:30,80,55770,22
15:29:30,80,55770,22
15:29:30,80,55770,22
15:29:30,80,55770,22
15:29:31,80,55771,23
15:29:31,80,55771,23
15:29:31,80,55771,23
15:29:32,80,55772,24
15:29:32,80,55772,24
15:29:32,80,55772,24
15:29:32,80,55772,24
15:29:33,79,55773,25
15:29:33,79,55773,25
15:29:33,79,55773,25
15:29:33,79,55773,25
15:29:34,79,55774,26
15:29:34,77,55774,26
15:29:34,77,55774,26
15:29:34,77,55774,26
15:29:35,77,55775,27
15:29:35,77,55775,27
15:29:35,77,55775,27
15:29:35,77,55775,27
15:29:36,77,55776,28
15:29:36,77,55776,28
15:29:36,77,55776,28
15:29:36,77,55776,28
15:29:37,77,55777,29
15:29:37,77,55777,29
15:29:37,77,55777,29
15:29:38,76,55778,30
15:29:38,76,55778,30
15:29:38,76,55778,30
15:29:38,76,55778,30
15:29:39,76,55779,31
15:29:39,75,55779,31
15:29:39,75,55779,31
15:29:39,75,55779,31
15:29:40,75,55780,32
15:29:40,75,55780,32
15:29:40,75,55780,32
15:29:40,74,55780,32
15:29:41,74,55781,33
15:29:41,74,55781,33
15:29:41,74,55781,33
15:29:41,74,55781,33
15:29:42,74,55782,34
15:29:42,74,55782,34
15:29:42,74,55782,34
15:29:42,74,55782,34
15:29:43,73,55783,35
15:29:43,73,55783,35
15:29:43,73,55783,35
15:29:44,73,55784,36
15:29:44,73,55784,36
15:29:44,72,55784,36
15:29:44,72,55784,36
15:29:45,72,55785,37
15:29:45,72,55785,37
15:29:45,72,55785,37
15:29:45,72,55785,37
15:29:46,72,55786,38
15:29:46,71,55786,38
15:29:46,71,55786,38
15:29:46,71,55786,38
15:29:47,71,55787,39
15:29:47,71,55787,39
15:29:47,71,55787,39
15:29:47,71,55787,39
15:29:48,71,55788,40
15:29:48,70,55788,40
15:29:48,70,55788,40
15:29:48,70,55788,40
15:29:49,70,55789,41
15:29:49,70,55789,41
15:29:49,70,55789,41
15:29:49,69,55789,41
15:29:50,69,55790,42
15:29:50,69,55790,42
15:29:50,69,55790,42
15:29:50,69,55790,42
15:29:51,69,55791,43
15:29:51,69,55791,43
15:29:51,69,55791,43
15:29:51,68,55791,43
15:29:52,68,55792,44
15:29:52,68,55792,44
15:29:52,68,55792,44
15:29:53,68,55793,45
15:29:53,68,55793,45
15:29:53,68,55793,45
15:29:53,68,55793,45
15:29:54,68,55794,46
15:29:54,67,55794,46
15:29:54,67,55794,46
15:29:54,67,55794,46
15:29:55,67,55795,47
15:29:55,67,55795,47
15:29:55,67,55795,47
15:29:55,67,55795,47
15:29:56,67,55796,48
15:29:56,65,55796,48
15:29:56,65,55796,48
15:29:56,65,55796,48
15:29:57,65,55797,49
15:29:57,65,55797,49
15:29:57,65,55797,49
15:29:57,65,55797,49
15:29:58,65,55798,50
15:29:58,65,55798,50
15:29:58,65,55798,50
15:29:59,65,55799,51
15:29:59,65,55799,51
15:29:59,65,55799,51
15:29:59,65,55799,51
15:30:00,65,55800,52
15:30:00,65,55800,52
15:30:00,64,55800,52
15:30:00,64,55800,52
15:30:01,64,55801,53
15:30:01,64,55801,53
15:30:01,64,55801,53
15:30:01,64,55801,53
15:30:02,64,55802,54
15:30:02,64,55802,54
15:30:02,64,55802,54
15:30:02,63,55802,54
15:30:03,63,55803,55
15:30:03,63,55803,55
15:30:03,63,55803,55
15:30:03,63,55803,55
15:30:04,63,55804,56
15:30:04,63,55804,56
15:30:04,62,55804,56
15:30:05,62,55805,57
15:30:05,62,55805,57
15:30:05,62,55805,57
15:30:05,62,55805,57
15:30:06,62,55806,58
15:30:06,62,55806,58
15:30:06,62,55806,58
15:30:06,61,55806,58
15:30:07,61,55807,59
15:30:07,61,55807,59
15:30:07,61,55807,59
15:30:07,61,55807,59
15:30:08,61,55808,60
15:30:08,61,55808,60
15:30:08,61,55808,60
15:30:08,61,55808,60
15:30:09,61,55809,61
15:30:09,61,55809,61
15:30:09,61,55809,61
15:30:09,60,55809,61
15:30:10,60,55810,62
15:30:10,60,55810,62
15:30:10,60,55810,62
15:30:10,60,55810,62
15:30:11,60,55811,63
15:30:11,60,55811,63
15:30:11,60,55811,63
15:30:12,59,55812,64
15:30:12,59,55812,64
15:30:12,59,55812,64
15:30:12,59,55812,64
15:30:13,59,55813,65
15:30:13,59,55813,65
15:30:13,59,55813,65
15:30:13,59,55813,65
15:30:14,59,55814,66
15:30:14,58,55814,66
15:30:14,58,55814,66
15:30:14,58,55814,66
15:30:15,58,55815,67
15:30:15,58,55815,67
15:30:15,58,55815,67
15:30:15,58,55815,67
15:30:16,58,55816,68
15:30:16,58,55816,68
15:30:16,58,55816,68
15:30:16,58,55816,68
15:30:17,57,55817,69
15:30:17,57,55817,69
15:30:17,57,55817,69
15:30:17,57,55817,69
15:30:18,57,55818,70
15:30:18,57,55818,70
15:30:18,57,55818,70
15:30:19,57,55819,71
15:30:19,57,55819,71
15:30:19,57,55819,71
15:30:19,57,55819,71
15:30:20,57,55820,72
15:30:20,56,55820,72
15:30:20,56,55820,72
15:30:20,56,55820,72
15:30:21,56,55821,73
15:30:21,56,55821,73
15:30:21,56,55821,73
15:30:21,56,55821,73
15:30:22,56,55822,74
15:30:22,56,55822,74
15:30:22,55,55822,74
15:30:22,55,55822,74
15:30:23,55,55823,75
15:30:23,55,55823,75
15:30:23,55,55823,75
15:30:23,55,55823,75
15:30:24,55,55824,76
15:30:24,55,55824,76
15:30:24,55,55824,76
15:30:24,55,55824,76
15:30:25,55,55825,77
15:30:25,54,55825,77
15:30:25,54,55825,77
15:30:26,54,55826,78
15:30:26,54,55826,78
15:30:26,54,55826,78
15:30:26,54,55826,78
15:30:27,54,55827,79
15:30:27,54,55827,79
15:30:27,54,55827,79
15:30:27,54,55827,79
15:30:28,54,55828,80
15:30:28,54,55828,80
15:30:28,53,55828,80
15:30:28,53,55828,80
15:30:29,53,55829,81
15:30:29,53,55829,81
15:30:29,53,55829,81
15:30:29,53,55829,81
15:30:30,53,55830,82
15:30:30,53,55830,82
15:30:30,53,55830,82
15:30:30,53,55830,82
15:30:31,53,55831,83
15:30:31,53,55831,83
15:30:31,53,55831,83
15:30:31,52,55831,83
15:30:32,52,55832,84
15:30:32,52,55832,84
15:30:32,52,55832,84
15:30:33,52,55833,85
15:30:33,52,55833,85
15:30:33,52,55833,85
15:30:33,52,55833,85
15:30:34,52,55834,86
15:30:34,52,55834,86
15:30:34,52,55834,86
15:30:34,52,55834,86
15:30:35,52,55835,87
15:30:35,52,55835,87
15:30:35,52,55835,87
15:30:35,52,55835,87
15:30:36,51,55836,88
15:30:36,51,55836,88
15:30:36,51,55836,88
