TIME CONSTANT OF THERMOCOUPLE/ THERMOMETER (Mode Low to High),,,
Time,Temperature,,Time (in seconds)
15:11:53,91,54713,0
15:11:53,91,54713,0
15:11:53,91,54713,0
15:11:53,91,54713,0
15:11:54,91,54714,1
15:11:54,91,54714,1
15:11:54,91,54714,1
15:11:54,91,54714,1
15:11:55,91,54715,2
15:11:55,91,54715,2
15:11:55,91,54715,2
15:11:55,91,54715,2
15:11:56,91,54716,3
15:11:56,91,54716,3
15:11:56,91,54716,3
15:11:56,91,54716,3
15:11:57,91,54717,4
15:11:57,91,54717,4
15:11:57,91,54717,4
15:11:58,91,54718,5
15:11:58,91,54718,5
15:11:58,91,54718,5
15:11:58,91,54718,5
15:11:59,91,54719,6
15:11:59,91,54719,6
15:11:59,91,54719,6
15:11:59,91,54719,6
15:12:00,91,54720,7
15:12:00,91,54720,7
15:12:00,91,54720,7
15:12:00,91,54720,7
15:12:01,91,54721,8
15:12:01,91,54721,8
15:12:01,91,54721,8
15:12:01,91,54721,8
15:12:02,91,54722,9
15:12:02,91,54722,9
15:12:02,91,54722,9
15:12:02,91,54722,9
15:12:03,91,54723,10
15:12:03,91,54723,10
15:12:03,91,54723,10
15:12:03,91,54723,10
15:12:04,91,54724,11
15:12:04,91,54724,11
15:12:04,91,54724,11
15:12:05,91,54725,12
15:12:05,91,54725,12
15:12:05,91,54725,12
15:12:05,91,54725,12
15:12:06,91,54726,13
15:12:06,91,54726,13
15:12:06,91,54726,13
15:12:06,91,54726,13
15:12:07,91,54727,14
15:12:07,91,54727,14
15:12:07,91,54727,14
15:12:07,91,54727,14
15:12:08,91,54728,15
15:12:08,90,54728,15
15:12:08,90,54728,15
15:12:08,90,54728,15
15:12:09,90,54729,16
15:12:09,90,54729,16
15:12:09,90,54729,16
15:12:10,90,54730,17
15:12:10,90,54730,17
15:12:10,90,54730,17
15:12:10,88,54730,17
15:12:11,88,54731,18
15:12:11,88,54731,18
15:12:11,88,54731,18
15:12:11,88,54731,18
15:12:12,88,54732,19
15:12:12,88,54732,19
15:12:12,87,54732,19
15:12:12,87,54732,19
15:12:13,87,54733,20
15:12:13,87,54733,20
15:12:13,87,54733,20
15:12:13,85,54733,20
15:12:14,85,54734,21
15:12:14,85,54734,21
15:12:14,85,54734,21
15:12:14,85,54734,21
15:12:15,85,54735,22
15:12:15,85,54735,22
15:12:15,85,54735,22
15:12:16,83,54736,23
15:12:16,83,54736,23
15:12:16,83,54736,23
15:12:16,83,54736,23
15:12:17,83,54737,24
15:12:17,83,54737,24
15:12:17,83,54737,24
15:12:17,82,54737,24
15:12:18,82,54738,25
15:12:18,82,54738,25
15:12:18,82,54738,25
15:12:18,82,54738,25
15:12:19,80,54739,26
15:12:19,80,54739,26
15:12:19,80,54739,26
15:12:19,80,54739,26
15:12:20,80,54740,27
15:12:20,80,54740,27
15:12:20,80,54740,27
15:12:20,79,54740,27
15:12:21,79,54741,28
15:12:21,79,54741,28
15:12:21,79,54741,28
