TIME CONSTANT OF THERMOCOUPLE/ THERMOMETER (Mode Low to High),,,,
Time,Temperature,,,Time (in seconds)
12:29:33,90,,44973,0
12:29:33,90,,44973,0
12:29:33,90,,44973,0
12:29:33,90,,44973,0
12:29:34,90,,44974,1
12:29:34,90,,44974,1
12:29:34,90,,44974,1
12:29:34,90,,44974,1
12:29:35,90,,44975,2
12:29:35,90,,44975,2
12:29:35,90,,44975,2
12:29:35,90,,44975,2
12:29:36,90,,44976,3
12:29:36,90,,44976,3
12:29:36,90,,44976,3
12:29:36,90,,44976,3
12:29:37,90,,44977,4
12:29:37,90,,44977,4
12:29:37,90,,44977,4
12:29:37,90,,44977,4
12:29:38,90,,44978,5
12:29:38,90,,44978,5
12:29:38,90,,44978,5
12:29:39,90,,44979,6
12:29:39,90,,44979,6
12:29:39,90,,44979,6
12:29:39,90,,44979,6
12:29:40,90,,44980,7
12:29:40,90,,44980,7
12:29:40,90,,44980,7
12:29:40,89,,44980,7
12:29:41,89,,44981,8
12:29:41,89,,44981,8
12:29:41,89,,44981,8
12:29:41,89,,44981,8
12:29:42,87,,44982,9
12:29:42,87,,44982,9
12:29:42,87,,44982,9
12:29:42,87,,44982,9
12:29:43,87,,44983,10
12:29:43,87,,44983,10
12:29:43,87,,44983,10
12:29:43,87,,44983,10
12:29:44,87,,44984,11
12:29:44,87,,44984,11
12:29:44,87,,44984,11
12:29:45,85,,44985,12
12:29:45,85,,44985,12
12:29:45,85,,44985,12
12:29:45,85,,44985,12
12:29:46,85,,44986,13
12:29:46,85,,44986,13
12:29:46,85,,44986,13
12:29:46,85,,44986,13
12:29:47,85,,44987,14
12:29:47,85,,44987,14
12:29:47,84,,44987,14
12:29:47,84,,44987,14
12:29:48,84,,44988,15
12:29:48,84,,44988,15
12:29:48,84,,44988,15
12:29:48,82,,44988,15
12:29:49,82,,44989,16
12:29:49,82,,44989,16
12:29:49,82,,44989,16
12:29:49,82,,44989,16
12:29:50,82,,44990,17
12:29:50,82,,44990,17
12:29:50,82,,44990,17
12:29:50,82,,44990,17
12:29:51,82,,44991,18
12:29:51,82,,44991,18
12:29:51,81,,44991,18
12:29:51,81,,44991,18
12:29:52,81,,44992,19
12:29:52,81,,44992,19
12:29:52,81,,44992,19
12:29:53,81,,44993,20
12:29:53,79,,44993,20
12:29:53,79,,44993,20
12:29:53,79,,44993,20
12:29:54,79,,44994,21
12:29:54,79,,44994,21
12:29:54,79,,44994,21
12:29:54,79,,44994,21
12:29:55,79,,44995,22
12:29:55,79,,44995,22
12:29:55,79,,44995,22
12:29:55,79,,44995,22
12:29:56,78,,44996,23
12:29:56,78,,44996,23
12:29:56,78,,44996,23
12:29:56,78,,44996,23
12:29:57,78,,44997,24
12:29:57,78,,44997,24
12:29:57,78,,44997,24
12:29:57,76,,44997,24
12:29:58,76,,44998,25
12:29:58,76,,44998,25
12:29:58,76,,44998,25
12:29:58,76,,44998,25
12:29:59,76,,44999,26
12:29:59,76,,44999,26
12:29:59,76,,44999,26
12:30:00,76,,45000,27
12:30:00,76,,45000,27
12:30:00,76,,45000,27
12:30:00,75,,45000,27
12:30:01,75,,45001,28
12:30:01,75,,45001,28
12:30:01,75,,45001,28
12:30:01,75,,45001,28
12:30:02,75,,45002,29
12:30:02,75,,45002,29
12:30:02,75,,45002,29
12:30:02,75,,45002,29
12:30:03,74,,45003,30
12:30:03,74,,45003,30
12:30:03,74,,45003,30
12:30:03,74,,45003,30
12:30:04,74,,45004,31
12:30:04,74,,45004,31
12:30:04,74,,45004,31
12:30:04,73,,45004,31
12:30:05,73,,45005,32
12:30:05,73,,45005,32
12:30:05,73,,45005,32
12:30:05,73,,45005,32
12:30:06,73,,45006,33
12:30:06,73,,45006,33
12:30:06,72,,45006,33
12:30:06,72,,45006,33
12:30:07,72,,45007,34
12:30:07,72,,45007,34
12:30:07,72,,45007,34
12:30:08,72,,45008,35
12:30:08,71,,45008,35
12:30:08,71,,45008,35
12:30:08,71,,45008,35
12:30:09,71,,45009,36
12:30:09,71,,45009,36
12:30:09,71,,45009,36
12:30:09,71,,45009,36
12:30:10,71,,45010,37
12:30:10,70,,45010,37
12:30:10,70,,45010,37
12:30:10,70,,45010,37
12:30:11,70,,45011,38
12:30:11,70,,45011,38
12:30:11,70,,45011,38
12:30:11,70,,45011,38
12:30:12,70,,45012,39
12:30:12,70,,45012,39
12:30:12,69,,45012,39
12:30:12,69,,45012,39
12:30:13,69,,45013,40
12:30:13,69,,45013,40
12:30:13,69,,45013,40
12:30:13,69,,45013,40
12:30:14,69,,45014,41
12:30:14,68,,45014,41
12:30:14,68,,45014,41
12:30:15,68,,45015,42
12:30:15,68,,45015,42
12:30:15,68,,45015,42
12:30:15,68,,45015,42
12:30:16,68,,45016,43
12:30:16,68,,45016,43
12:30:16,68,,45016,43
12:30:16,67,,45016,43
12:30:17,67,,45017,44
12:30:17,67,,45017,44
12:30:17,67,,45017,44
12:30:17,67,,45017,44
12:30:18,67,,45018,45
12:30:18,66,,45018,45
12:30:18,66,,45018,45
12:30:18,66,,45018,45
12:30:19,66,,45019,46
12:30:19,66,,45019,46
12:30:19,66,,45019,46
12:30:19,65,,45019,46
12:30:20,65,,45020,47
12:30:20,65,,45020,47
12:30:20,65,,45020,47
12:30:20,65,,45020,47
12:30:21,65,,45021,48
12:30:21,65,,45021,48
12:30:21,65,,45021,48
12:30:22,65,,45022,49
12:30:22,65,,45022,49
12:30:22,65,,45022,49
12:30:22,65,,45022,49
12:30:23,64,,45023,50
12:30:23,64,,45023,50
12:30:23,64,,45023,50
12:30:23,64,,45023,50
12:30:24,64,,45024,51
12:30:24,64,,45024,51
12:30:24,64,,45024,51
12:30:24,64,,45024,51
12:30:25,64,,45025,52
12:30:25,64,,45025,52
12:30:25,63,,45025,52
12:30:25,63,,45025,52
12:30:26,63,,45026,53
12:30:26,63,,45026,53
12:30:26,63,,45026,53
12:30:26,63,,45026,53
12:30:27,63,,45027,54
12:30:27,63,,45027,54
12:30:27,63,,45027,54
12:30:27,62,,45027,54
12:30:28,62,,45028,55
12:30:28,62,,45028,55
12:30:28,62,,45028,55
12:30:29,62,,45029,56
12:30:29,62,,45029,56
12:30:29,62,,45029,56
12:30:29,61,,45029,56
12:30:30,61,,45030,57
12:30:30,61,,45030,57
12:30:30,61,,45030,57
12:30:30,61,,45030,57
12:30:31,61,,45031,58
12:30:31,61,,45031,58
12:30:31,61,,45031,58
12:30:31,61,,45031,58
12:30:32,61,,45032,59
12:30:32,61,,45032,59
12:30:32,61,,45032,59
12:30:32,61,,45032,59
12:30:33,60,,45033,60
12:30:33,60,,45033,60
12:30:33,60,,45033,60
12:30:33,60,,45033,60
12:30:34,60,,45034,61
12:30:34,60,,45034,61
12:30:34,60,,45034,61
12:30:35,60,,45035,62
12:30:35,60,,45035,62
12:30:35,59,,45035,62
12:30:35,59,,45035,62
12:30:36,59,,45036,63
12:30:36,59,,45036,63
12:30:36,59,,45036,63
12:30:36,59,,45036,63
12:30:37,59,,45037,64
12:30:37,59,,45037,64
12:30:37,59,,45037,64
12:30:37,59,,45037,64
12:30:38,59,,45038,65
12:30:38,59,,45038,65
12:30:38,59,,45038,65
12:30:38,59,,45038,65
12:30:39,59,,45039,66
12:30:39,59,,45039,66
12:30:39,59,,45039,66
12:30:40,58,,45040,67
12:30:40,58,,45040,67
12:30:40,58,,45040,67
12:30:40,58,,45040,67
12:30:41,58,,45041,68
12:30:41,58,,45041,68
12:30:41,58,,45041,68
12:30:41,58,,45041,68
12:30:42,58,,45042,69
12:30:42,57,,45042,69
12:30:42,57,,45042,69
12:30:42,57,,45042,69
12:30:43,57,,45043,70
12:30:43,57,,45043,70
12:30:43,57,,45043,70
12:30:43,57,,45043,70
12:30:44,57,,45044,71
12:30:44,57,,45044,71
12:30:44,57,,45044,71
12:30:44,57,,45044,71
12:30:45,57,,45045,72
12:30:45,57,,45045,72
12:30:45,56,,45045,72
12:30:46,56,,45046,73
12:30:46,56,,45046,73
12:30:46,56,,45046,73
12:30:46,56,,45046,73
12:30:47,56,,45047,74
12:30:47,56,,45047,74
12:30:47,56,,45047,74
12:30:47,56,,45047,74
12:30:48,56,,45048,75
12:30:48,55,,45048,75
12:30:48,55,,45048,75
12:30:48,55,,45048,75
12:30:49,55,,45049,76
12:30:49,55,,45049,76
12:30:49,55,,45049,76
12:30:49,55,,45049,76
12:30:50,55,,45050,77
12:30:50,55,,45050,77
12:30:50,55,,45050,77
12:30:50,55,,45050,77
12:30:51,55,,45051,78
12:30:51,55,,45051,78
12:30:51,55,,45051,78
12:30:51,55,,45051,78
12:30:52,55,,45052,79
12:30:52,54,,45052,79
12:30:52,54,,45052,79
12:30:52,54,,45052,79
12:30:53,54,,45053,80
12:30:53,54,,45053,80
12:30:53,54,,45053,80
12:30:54,54,,45054,81
12:30:54,54,,45054,81
12:30:54,54,,45054,81
12:30:54,54,,45054,81
12:30:55,54,,45055,82
12:30:55,54,,45055,82
12:30:55,54,,45055,82
12:30:55,54,,45055,82
12:30:56,54,,45056,83
12:30:56,54,,45056,83
12:30:56,54,,45056,83
12:30:56,54,,45056,83
12:30:57,53,,45057,84
12:30:57,53,,45057,84
12:30:57,53,,45057,84
12:30:57,53,,45057,84
12:30:58,53,,45058,85
12:30:58,53,,45058,85
12:30:58,53,,45058,85
12:30:58,53,,45058,85
12:30:59,53,,45059,86
12:30:59,53,,45059,86
12:30:59,53,,45059,86
12:30:59,53,,45059,86
12:31:00,53,,45060,87
12:31:00,53,,45060,87
12:31:00,53,,45060,87
12:31:01,53,,45061,88
12:31:01,53,,45061,88
12:31:01,52,,45061,88
12:31:01,52,,45061,88
12:31:02,52,,45062,89
12:31:02,52,,45062,89
12:31:02,52,,45062,89
12:31:02,52,,45062,89
12:31:03,52,,45063,90
12:31:03,52,,45063,90
12:31:03,52,,45063,90
12:31:03,52,,45063,90
12:31:04,52,,45064,91
12:31:04,52,,45064,91
12:31:04,52,,45064,91
12:31:04,52,,45064,91
12:31:05,52,,45065,92
12:31:05,52,,45065,92
12:31:05,52,,45065,92
12:31:05,52,,45065,92
12:31:06,52,,45066,93
12:31:06,52,,45066,93
12:31:06,51,,45066,93
12:31:06,51,,45066,93
12:31:07,51,,45067,94
12:31:07,51,,45067,94
12:31:07,51,,45067,94
12:31:07,51,,45067,94
12:31:08,51,,45068,95
12:31:08,51,,45068,95
12:31:08,51,,45068,95
12:31:08,51,,45068,95
12:31:09,51,,45069,96
12:31:09,51,,45069,96
12:31:09,51,,45069,96
12:31:10,51,,45070,97
12:31:10,51,,45070,97
12:31:10,51,,45070,97
12:31:10,51,,45070,97
12:31:11,51,,45071,98
12:31:11,51,,45071,98
12:31:11,51,,45071,98
12:31:11,51,,45071,98
12:31:12,51,,45072,99
12:31:12,51,,45072,99
12:31:12,51,,45072,99
12:31:12,51,,45072,99
12:31:13,51,,45073,100
12:31:13,50,,45073,100
12:31:13,50,,45073,100
12:31:13,50,,45073,100
12:31:14,50,,45074,101
12:31:14,50,,45074,101
12:31:14,50,,45074,101
12:31:14,50,,45074,101
12:31:15,50,,45075,102
12:31:15,50,,45075,102
12:31:15,50,,45075,102
12:31:15,50,,45075,102
12:31:16,50,,45076,103
12:31:16,50,,45076,103
12:31:16,50,,45076,103
12:31:17,50,,45077,104
12:31:17,50,,45077,104
12:31:17,50,,45077,104
12:31:17,50,,45077,104
12:31:18,50,,45078,105
12:31:18,49,,45078,105
12:31:18,49,,45078,105
12:31:18,49,,45078,105
12:31:19,49,,45079,106
12:31:19,49,,45079,106
12:31:19,49,,45079,106
12:31:19,49,,45079,106
12:31:20,49,,45080,107
12:31:20,49,,45080,107
12:31:20,49,,45080,107
12:31:20,49,,45080,107
12:31:21,49,,45081,108
12:31:21,49,,45081,108
12:31:21,49,,45081,108
12:31:21,49,,45081,108
12:31:22,49,,45082,109
12:31:22,49,,45082,109
12:31:22,49,,45082,109
12:31:23,49,,45083,110
12:31:23,49,,45083,110
12:31:23,49,,45083,110
12:31:23,49,,45083,110
12:31:24,49,,45084,111
12:31:24,49,,45084,111
12:31:24,49,,45084,111
12:31:24,49,,45084,111
12:31:25,49,,45085,112
12:31:25,49,,45085,112
12:31:25,49,,45085,112
12:31:25,48,,45085,112
12:31:26,48,,45086,113
12:31:26,48,,45086,113
12:31:26,48,,45086,113
12:31:26,48,,45086,113
12:31:27,48,,45087,114
12:31:27,48,,45087,114
12:31:27,48,,45087,114
12:31:27,48,,45087,114
12:31:28,48,,45088,115
12:31:28,48,,45088,115
12:31:28,48,,45088,115
12:31:28,48,,45088,115
12:31:29,48,,45089,116
12:31:29,48,,45089,116
12:31:29,48,,45089,116
12:31:30,48,,45090,117
12:31:30,48,,45090,117
12:31:30,48,,45090,117
12:31:30,48,,45090,117
12:31:31,48,,45091,118
12:31:31,48,,45091,118
12:31:31,48,,45091,118
12:31:31,48,,45091,118
12:31:32,48,,45092,119
12:31:32,48,,45092,119
12:31:32,48,,45092,119
12:31:32,48,,45092,119
12:31:33,48,,45093,120
12:31:33,48,,45093,120
12:31:33,47,,45093,120
12:31:33,47,,45093,120
12:31:34,47,,45094,121
12:31:34,47,,45094,121
12:31:34,47,,45094,121
12:31:34,47,,45094,121
12:31:35,47,,45095,122
12:31:35,47,,45095,122
12:31:35,47,,45095,122
12:31:35,47,,45095,122
12:31:36,47,,45096,123
12:31:36,47,,45096,123
12:31:36,47,,45096,123
12:31:37,47,,45097,124
12:31:37,47,,45097,124
12:31:37,47,,45097,124
12:31:37,47,,45097,124
12:31:38,47,,45098,125
12:31:38,47,,45098,125
12:31:38,47,,45098,125
12:31:38,47,,45098,125
12:31:39,47,,45099,126
12:31:39,47,,45099,126
12:31:39,47,,45099,126
12:31:39,47,,45099,126
12:31:40,47,,45100,127
12:31:40,47,,45100,127
12:31:40,47,,45100,127
